dataset,recipe_name,ordering_index,method,threshold,fold,precision,recall,f1,precision_zero_division,recall_zero_division,predicted_error_set,ground_truth_error_set
captaincookrecipes,blenderbananapancakes,0,ares,0.17454545199871063,1,0.4,0.6666666666666666,0.5,False,False,1;11;15;3;4,15;2;4
captaincookrecipes,blenderbananapancakes,1,ares,0.17454545199871063,1,0.75,1.0,0.8571428571428571,False,False,1;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,2,ares,0.17454545199871063,1,0.75,1.0,0.8571428571428571,False,False,1;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,3,ares,0.17454545199871063,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,False,False,1;11;15;3;4;9,15;2;4
captaincookrecipes,blenderbananapancakes,4,ares,0.17454545199871063,1,0.75,1.0,0.8571428571428571,False,False,1;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,5,ares,0.17454545199871063,1,0.75,1.0,0.8571428571428571,False,False,1;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,6,ares,0.17454545199871063,1,0.5,1.0,0.6666666666666666,False,False,1;15;2;3;4;7,15;2;4
captaincookrecipes,blenderbananapancakes,7,ares,0.17454545199871063,1,0.5,1.0,0.6666666666666666,False,False,1;13;15;2;3;4,15;2;4
captaincookrecipes,blenderbananapancakes,8,ares,0.17454545199871063,1,0.42857142857142855,1.0,0.6,False,False,1;12;15;2;3;4;9,15;2;4
captaincookrecipes,blenderbananapancakes,9,ares,0.17454545199871063,1,0.5,1.0,0.6666666666666666,False,False,1;12;15;2;4;9,15;2;4
captaincookrecipes,breakfastburritos,0,ares,0.1678321659564972,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;5;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,1,ares,0.1678321659564972,0,0.8,1.0,0.888888888888889,False,False,11;12;4;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,2,ares,0.1678321659564972,0,0.8,1.0,0.888888888888889,False,False,11;12;4;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,3,ares,0.1678321659564972,0,0.5,1.0,0.6666666666666666,False,False,11;12;3;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,4,ares,0.1678321659564972,0,0.8,1.0,0.888888888888889,False,False,11;12;4;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,5,ares,0.1678321659564972,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,6,ares,0.1678321659564972,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,7,ares,0.1678321659564972,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,8,ares,0.1678321659564972,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,9,ares,0.1678321659564972,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,broccolistirfry,0,ares,0.1678321659564972,0,0.5294117647058824,0.6923076923076923,0.5999999999999999,False,False,1;12;15;17;18;2;20;21;23;24;26;3;5;6;7;8;9,11;12;15;16;17;2;20;23;25;26;4;7;9
captaincookrecipes,broccolistirfry,1,ares,0.1678321659564972,0,0.3333333333333333,0.38461538461538464,0.3571428571428571,False,False,1;10;12;16;17;18;19;2;21;23;24;3;5;6;8,11;12;15;16;17;2;20;23;25;26;4;7;9
captaincookrecipes,broccolistirfry,2,ares,0.1678321659564972,0,0.2727272727272727,0.23076923076923078,0.24999999999999994,False,False,18;19;20;21;22;23;24;5;6;8;9,11;12;15;16;17;2;20;23;25;26;4;7;9
captaincookrecipes,broccolistirfry,3,ares,0.1678321659564972,0,0.3333333333333333,0.3076923076923077,0.32,False,False,12;18;19;2;20;21;22;23;24;5;6;8,11;12;15;16;17;2;20;23;25;26;4;7;9
