dataset,method,recipe_name,topovar,num_orderings_used
captaincookrecipes,ares,blenderbananapancakes,0.025544066931375262,10
captaincookrecipes,ares,breakfastburritos,0.028813242738207363,10
captaincookrecipes,ares,broccolistirfry,0.03642406353855837,10
captaincookrecipes,ares,buttercorncup,0.00974810032399107,10
captaincookrecipes,ares,capresebruschetta,0.04857545908636951,10
captaincookrecipes,ares,cheesepimiento,0.031149774404853673,10
captaincookrecipes,ares,coffee,0.03657376472176091,10
captaincookrecipes,ares,cucumberraita,0.06600002343127555,10
captaincookrecipes,ares,dressedupmeatballs,0.035489884497650524,10
captaincookrecipes,ares,herbomeletwithfriedtomatoes,0.02535749992226194,10
captaincookrecipes,ares,microwaveeggsandwich,0.033393198411538746,10
captaincookrecipes,ares,microwavefrenchtoast,0.01858451378878567,10
captaincookrecipes,ares,microwavemugpizza,0.001768290381115662,10
captaincookrecipes,ares,mugcake,0.03004990439485809,10
captaincookrecipes,ares,panfriedtofu,0.0139561361225047,10
captaincookrecipes,ares,pinwheels,0.005981864000122277,9
captaincookrecipes,ares,ramen,0.02573028819576258,10
captaincookrecipes,ares,sautedmushrooms,0.007226241377439514,10
captaincookrecipes,ares,scrambledeggs,0.012580586058147963,10
captaincookrecipes,ares,spicedhotchocolate,8.744342496867052e-05,6
captaincookrecipes,ares,spicytunaavocadowraps,0.022651370196969414,10
captaincookrecipes,ares,tomatochutney,0.017527772148491556,10
captaincookrecipes,ares,tomatomozzarellasalad,0.02726432515007975,10
captaincookrecipes,ares,zoodles,0.02252556724587181,10
captaincookrecipes,entail_prev,blenderbananapancakes,0.08148148148148149,10
captaincookrecipes,entail_prev,breakfastburritos,0.06851851851851852,10
captaincookrecipes,entail_prev,broccolistirfry,0.09615384615384616,10
captaincookrecipes,entail_prev,buttercorncup,0.035897435897435895,10
captaincookrecipes,entail_prev,capresebruschetta,0.1259259259259259,10
captaincookrecipes,entail_prev,cheesepimiento,0.08796296296296297,10
captaincookrecipes,entail_prev,coffee,0.10915032679738562,10
captaincookrecipes,entail_prev,cucumberraita,0.1361111111111111,10
captaincookrecipes,entail_prev,dressedupmeatballs,0.09296732025832133,10
captaincookrecipes,entail_prev,herbomeletwithfriedtomatoes,0.10625,10
captaincookrecipes,entail_prev,microwaveeggsandwich,0.08803418803418803,10
captaincookrecipes,entail_prev,microwavefrenchtoast,0.06851851851851852,10
captaincookrecipes,entail_prev,microwavemugpizza,0.07185185185185185,10
captaincookrecipes,entail_prev,mugcake,0.09312169312169313,10
captaincookrecipes,entail_prev,panfriedtofu,0.04444444444444444,10
captaincookrecipes,entail_prev,pinwheels,0.02777777777777778,9
captaincookrecipes,entail_prev,ramen,0.09236111111111112,10
captaincookrecipes,entail_prev,sautedmushrooms,0.06549707602339182,10
captaincookrecipes,entail_prev,scrambledeggs,0.09675925925925927,10
captaincookrecipes,entail_prev,spicedhotchocolate,0.0,6
captaincookrecipes,entail_prev,spicytunaavocadowraps,0.0962962962962963,10
captaincookrecipes,entail_prev,tomatochutney,0.10500000000000001,10
captaincookrecipes,entail_prev,tomatomozzarellasalad,0.04555555555555556,10
captaincookrecipes,entail_prev,zoodles,0.10634920634920635,10
captaincookrecipes,entail_base,blenderbananapancakes,0.0437037037037037,10
captaincookrecipes,entail_base,breakfastburritos,0.037037037037037035,10
captaincookrecipes,entail_base,broccolistirfry,0.031196581196581197,10
captaincookrecipes,entail_base,buttercorncup,0.007692307692307693,10
captaincookrecipes,entail_base,capresebruschetta,0.04537037037037037,10
captaincookrecipes,entail_base,cheesepimiento,0.06481481481481481,10
captaincookrecipes,entail_base,coffee,0.0,10
captaincookrecipes,entail_base,cucumberraita,0.09074074074074075,10
captaincookrecipes,entail_base,dressedupmeatballs,0.05751633986928104,10
captaincookrecipes,entail_base,herbomeletwithfriedtomatoes,0.03819444444444445,10
captaincookrecipes,entail_base,microwaveeggsandwich,0.025641025641025644,10
captaincookrecipes,entail_base,microwavefrenchtoast,0.019444444444444445,10
captaincookrecipes,entail_base,microwavemugpizza,0.0,10
captaincookrecipes,entail_base,mugcake,0.016931216931216932,10
captaincookrecipes,entail_base,panfriedtofu,0.027222222222222224,10
captaincookrecipes,entail_base,pinwheels,0.029166666666666667,9
captaincookrecipes,entail_base,ramen,0.04791666666666666,10
captaincookrecipes,entail_base,sautedmushrooms,0.0,10
captaincookrecipes,entail_base,scrambledeggs,0.04212962962962963,10
captaincookrecipes,entail_base,spicedhotchocolate,0.0,6
captaincookrecipes,entail_base,spicytunaavocadowraps,0.0308641975308642,10
captaincookrecipes,entail_base,tomatochutney,0.04055555555555555,10
captaincookrecipes,entail_base,tomatomozzarellasalad,0.05,10
captaincookrecipes,entail_base,zoodles,0.019841269841269844,10
