dataset,method,recipe_name,topovar,num_orderings_used
captaincookrecipes,ares,blenderbananapancakes,0.029248119171803914,10
captaincookrecipes,ares,breakfastburritos,0.02895097360081246,10
captaincookrecipes,ares,broccolistirfry,0.03662698372565331,10
captaincookrecipes,ares,buttercorncup,0.004992624568204077,10
captaincookrecipes,ares,capresebruschetta,0.036905601143967126,10
captaincookrecipes,ares,cheesepimiento,0.027791236190628784,10
captaincookrecipes,ares,coffee,0.03200920303891128,10
captaincookrecipes,ares,cucumberraita,0.063671057278317,10
captaincookrecipes,ares,dressedupmeatballs,0.026313587667448412,10
captaincookrecipes,ares,herbomeletwithfriedtomatoes,0.028818543716410596,10
captaincookrecipes,ares,microwaveeggsandwich,0.03275346470865188,10
captaincookrecipes,ares,microwavefrenchtoast,0.021080298161630814,10
captaincookrecipes,ares,microwavemugpizza,0.0014644563414479806,10
captaincookrecipes,ares,mugcake,0.026164262058018643,10
captaincookrecipes,ares,panfriedtofu,0.013586138315873634,10
captaincookrecipes,ares,pinwheels,0.006398903828156004,9
captaincookrecipes,ares,ramen,0.03445181558673179,10
captaincookrecipes,ares,sautedmushrooms,0.009063889609140086,10
captaincookrecipes,ares,scrambledeggs,0.013383044486390177,10
captaincookrecipes,ares,spicedhotchocolate,1.541994739167412e-05,6
captaincookrecipes,ares,spicytunaavocadowraps,0.01852817264131931,10
captaincookrecipes,ares,tomatochutney,0.021194659698989295,10
captaincookrecipes,ares,tomatomozzarellasalad,0.030356688960401522,10
captaincookrecipes,ares,zoodles,0.01865397736053614,10
captaincookrecipes,sager,blenderbananapancakes,0.0026197258095220412,10
captaincookrecipes,sager,breakfastburritos,0.0006349487099366814,10
captaincookrecipes,sager,broccolistirfry,0.00390967467184832,10
captaincookrecipes,sager,buttercorncup,0.00084176242820341,10
captaincookrecipes,sager,capresebruschetta,0.0018694092579617497,10
captaincookrecipes,sager,cheesepimiento,0.0009512600845780389,10
captaincookrecipes,sager,coffee,0.0006976482483772384,10
captaincookrecipes,sager,cucumberraita,0.0014925093256291974,10
captaincookrecipes,sager,dressedupmeatballs,0.0029428856895154613,10
captaincookrecipes,sager,herbomeletwithfriedtomatoes,0.0018145104851234079,10
captaincookrecipes,sager,microwaveeggsandwich,0.0020356027076482504,10
captaincookrecipes,sager,microwavefrenchtoast,0.0008820560896562173,10
captaincookrecipes,sager,microwavemugpizza,0.00030522478073526994,10
captaincookrecipes,sager,mugcake,0.001256548598068303,10
captaincookrecipes,sager,panfriedtofu,0.0012744776583347263,10
captaincookrecipes,sager,pinwheels,0.0009763432943861519,9
captaincookrecipes,sager,ramen,0.0009418422610711939,10
captaincookrecipes,sager,sautedmushrooms,0.002264792218014425,10
captaincookrecipes,sager,scrambledeggs,0.0008228125772615937,10
captaincookrecipes,sager,spicedhotchocolate,0.0,6
captaincookrecipes,sager,spicytunaavocadowraps,0.0022025969855844507,10
captaincookrecipes,sager,tomatochutney,0.002655979698626405,10
captaincookrecipes,sager,tomatomozzarellasalad,0.0009440918324264618,10
captaincookrecipes,sager,zoodles,0.001235833973545709,10
